95% Lower,95% Upper,Life expectancy at birth,Local Authority,Old Ward Code,Ward,Ward name,end year,gender,start year
73.5,78.3,75.9,Barking and Dagenham,00ABFX,E05000026,Abbey,2003,Male,1999
78.3,82.4,80.3,Barking and Dagenham,00ABFX,E05000026,Abbey,2003,Female,1999
72.2,76.3,74.3,Barking and Dagenham,00ABFX,E05000026,Abbey,2004,Male,2000
79.0,83.2,81.1,Barking and Dagenham,00ABFX,E05000026,Abbey,2004,Female,2000
73.4,77.7,75.6,Barking and Dagenham,00ABFX,E05000026,Abbey,2005,Male,2001
79.2,83.3,81.2,Barking and Dagenham,00ABFX,E05000026,Abbey,2005,Female,2001
73.6,78.6,76.1,Barking and Dagenham,00ABFX,E05000026,Abbey,06,Male,2002
78.4,82.9,80.6,Barking and Dagenham,00ABFX,E05000026,Abbey,06,Female,2002
74.0,80.1,77.0,Barking and Dagenham,00ABFX,E05000026,Abbey,07,Male,2003
79.5,84.6,82.0,Barking and Dagenham,00ABFX,E05000026,Abbey,07,Female,2003
74.9,80.5,77.7,Barking and Dagenham,00ABFX,E05000026,Abbey,08,Male,2004
80.2,85.6,82.9,Barking and Dagenham,00ABFX,E05000026,Abbey,08,Female,2004
77.4,83.7,80.6,Barking and Dagenham,00ABFX,E05000026,Abbey,09,Male,2005
80.5,85.9,83.2,Barking and Dagenham,00ABFX,E05000026,Abbey,09,Female,2005
77.4,83.8,80.6,Barking and Dagenham,00ABFX,E05000026,Abbey,10,Male,2006
81.2,87.0,84.1,Barking and Dagenham,00ABFX,E05000026,Abbey,10,Female,2006
78.2,83.8,81.0,Barking and Dagenham,00ABFX,E05000026,Abbey,11,Male,2007
80.5,85.6,83.1,Barking and Dagenham,00ABFX,E05000026,Abbey,11,Female,2007
77.6,82.5,80.0,Barking and Dagenham,00ABFX,E05000026,Abbey,12,Male,2008
79.7,84.7,82.2,Barking and Dagenham,00ABFX,E05000026,Abbey,12,Female,2008
77.6,82.7,80.2,Barking and Dagenham,00ABFX,E05000026,Abbey,13,Male,2009
81.3,86.5,83.9,Barking and Dagenham,00ABFX,E05000026,Abbey,13,Female,2009
77.5,82.4,80.0,Barking and Dagenham,00ABFX,E05000026,Abbey,14,Male,2010
81.0,86.3,83.6,Barking and Dagenham,00ABFX,E05000026,Abbey,14,Female,2010
71.3,75.3,73.3,Barking and Dagenham,00ABFY,E05000027,Alibon,2003,Male,1999
77.3,80.6,78.9,Barking and Dagenham,00ABFY,E05000027,Alibon,2003,Female,1999
71.4,75.2,73.3,Barking and Dagenham,00ABFY,E05000027,Alibon,2004,Male,2000
77.9,81.3,79.6,Barking and Dagenham,00ABFY,E05000027,Alibon,2004,Female,2000
72.5,76.1,74.3,Barking and Dagenham,00ABFY,E05000027,Alibon,2005,Male,2001
78.0,81.7,79.9,Barking and Dagenham,00ABFY,E05000027,Alibon,2005,Female,2001
72.9,76.3,74.6,Barking and Dagenham,00ABFY,E05000027,Alibon,06,Male,2002
77.8,81.7,79.8,Barking and Dagenham,00ABFY,E05000027,Alibon,06,Female,2002
73.6,77.1,75.4,Barking and Dagenham,00ABFY,E05000027,Alibon,07,Male,2003
77.6,81.6,79.6,Barking and Dagenham,00ABFY,E05000027,Alibon,07,Female,2003
72.9,76.5,74.7,Barking and Dagenham,00ABFY,E05000027,Alibon,08,Male,2004
78.4,82.5,80.4,Barking and Dagenham,00ABFY,E05000027,Alibon,08,Female,2004
73.7,77.3,75.5,Barking and Dagenham,00ABFY,E05000027,Alibon,09,Male,2005
78.2,81.8,80.0,Barking and Dagenham,00ABFY,E05000027,Alibon,09,Female,2005
74.5,78.1,76.3,Barking and Dagenham,00ABFY,E05000027,Alibon,10,Male,2006
78.4,81.9,80.1,Barking and Dagenham,00ABFY,E05000027,Alibon,10,Female,2006
74.0,77.9,76.0,Barking and Dagenham,00ABFY,E05000027,Alibon,11,Male,2007
78.7,82.4,80.6,Barking and Dagenham,00ABFY,E05000027,Alibon,11,Female,2007
73.8,77.7,75.8,Barking and Dagenham,00ABFY,E05000027,Alibon,12,Male,2008
78.5,82.4,80.4,Barking and Dagenham,00ABFY,E05000027,Alibon,12,Female,2008
75.2,79.2,77.2,Barking and Dagenham,00ABFY,E05000027,Alibon,13,Male,2009
78.6,82.6,80.6,Barking and Dagenham,00ABFY,E05000027,Alibon,13,Female,2009
74.9,79.1,77.0,Barking and Dagenham,00ABFY,E05000027,Alibon,14,Male,2010
79.3,83.6,81.4,Barking and Dagenham,00ABFY,E05000027,Alibon,14,Female,2010
73.2,76.6,74.9,Barking and Dagenham,00ABFZ,E05000028,Becontree,2003,Male,1999
79.1,83.0,81.0,Barking and Dagenham,00ABFZ,E05000028,Becontree,2003,Female,1999
73.4,76.8,75.1,Barking and Dagenham,00ABFZ,E05000028,Becontree,2004,Male,2000
80.3,84.3,82.3,Barking and Dagenham,00ABFZ,E05000028,Becontree,2004,Female,2000
72.7,76.1,74.4,Barking and Dagenham,00ABFZ,E05000028,Becontree,2005,Male,2001
80.8,84.8,82.8,Barking and Dagenham,00ABFZ,E05000028,Becontree,2005,Female,2001
73.5,77.7,75.6,Barking and Dagenham,00ABFZ,E05000028,Becontree,06,Male,2002
80.9,84.6,82.8,Barking and Dagenham,00ABFZ,E05000028,Becontree,06,Female,2002
72.8,76.7,74.8,Barking and Dagenham,00ABFZ,E05000028,Becontree,07,Male,2003
81.3,84.9,83.1,Barking and Dagenham,00ABFZ,E05000028,Becontree,07,Female,2003
73.9,78.0,76.0,Barking and Dagenham,00ABFZ,E05000028,Becontree,08,Male,2004
80.4,84.1,82.3,Barking and Dagenham,00ABFZ,E05000028,Becontree,08,Female,2004
74.0,77.8,75.9,Barking and Dagenham,00ABFZ,E05000028,Becontree,09,Male,2005
79.1,82.5,80.8,Barking and Dagenham,00ABFZ,E05000028,Becontree,09,Female,2005
75.5,79.4,77.4,Barking and Dagenham,00ABFZ,E05000028,Becontree,10,Male,2006
78.5,82.0,80.3,Barking and Dagenham,00ABFZ,E05000028,Becontree,10,Female,2006
75.6,79.4,77.5,Barking and Dagenham,00ABFZ,E05000028,Becontree,11,Male,2007
78.1,81.5,79.8,Barking and Dagenham,00ABFZ,E05000028,Becontree,11,Female,2007
77.1,80.8,78.9,Barking and Dagenham,00ABFZ,E05000028,Becontree,12,Male,2008
77.2,80.6,78.9,Barking and Dagenham,00ABFZ,E05000028,Becontree,12,Female,2008
77.2,80.8,79.0,Barking and Dagenham,00ABFZ,E05000028,Becontree,13,Male,2009
77.7,81.0,79.3,Barking and Dagenham,00ABFZ,E05000028,Becontree,13,Female,2009
77.1,80.8,79.0,Barking and Dagenham,00ABFZ,E05000028,Becontree,14,Male,2010
77.6,80.8,79.2,Barking and Dagenham,00ABFZ,E05000028,Becontree,14,Female,2010
76.5,80.1,78.3,Barking and Dagenham,00ABGA,E05000029,Chadwell Heath,2003,Male,1999
76.5,80.5,78.5,Barking and Dagenham,00ABGA,E05000029,Chadwell Heath,2003,Female,1999
77.4,80.9,79.2,Barking and Dagenham,00ABGA,E05000029,Chadwell Heath,2004,Male,2000
76.9,80.7,78.8,Barking and Dagenham,00ABGA,E05000029,Chadwell Heath,2004,Female,2000
76.8,80.3,78.5,Barking and Dagenham,00ABGA,E05000029,Chadwell Heath,2005,Male,2001
78.2,81.6,79.9,Barking and Dagenham,00ABGA,E05000029,Chadwell Heath,2005,Female,2001
76.0,79.7,77.8,Barking and Dagenham,00ABGA,E05000029,Chadwell Heath,06,Male,2002
78.4,81.6,80.0,Barking and Dagenham,00ABGA,E05000029,Chadwell Heath,06,Female,2002
75.9,79.7,77.8,Barking and Dagenham,00ABGA,E05000029,Chadwell Heath,07,Male,2003
79.1,82.4,80.8,Barking and Dagenham,00ABGA,E05000029,Chadwell Heath,07,Female,2003
75.9,80.0,78.0,Barking and Dagenham,00ABGA,E05000029,Chadwell Heath,08,Male,2004
79.1,82.5,80.8,Barking and Dagenham,00ABGA,E05000029,Chadwell Heath,08,Female,2004
76.5,80.8,78.7,Barking and Dagenham,00ABGA,E05000029,Chadwell Heath,09,Male,2005
79.0,82.7,80.9,Barking and Dagenham,00ABGA,E05000029,Chadwell Heath,09,Female,2005
76.4,80.8,78.6,Barking and Dagenham,00ABGA,E05000029,Chadwell Heath,10,Male,2006
78.9,82.7,80.8,Barking and Dagenham,00ABGA,E05000029,Chadwell Heath,10,Female,2006
77.1,81.5,79.3,Barking and Dagenham,00ABGA,E05000029,Chadwell Heath,11,Male,2007
79.5,83.3,81.4,Barking and Dagenham,00ABGA,E05000029,Chadwell Heath,11,Female,2007
77.1,81.0,79.1,Barking and Dagenham,00ABGA,E05000029,Chadwell Heath,12,Male,2008
79.2,82.8,81.0,Barking and Dagenham,00ABGA,E05000029,Chadwell Heath,12,Female,2008
77.3,81.1,79.2,Barking and Dagenham,00ABGA,E05000029,Chadwell Heath,13,Male,2009
