Average of Life expectancy at birth,Column Labels,,,,,,,,,,,,
Row Labels,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,
Knightsbridge and Belgravia,85.6,85.0,85.6,88.3,89.5,90.8,91.1,91.7,92.5,91.8,90.4,91.2,
Queens Gate,84.8,85.9,86.8,87.7,87.1,87.7,88.4,88.7,88.7,88.0,88.2,88.7,
Courtfield,87.3,86.4,86.9,87.6,87.2,86.1,86.6,87.4,87.1,88.0,89.8,88.7,
Holland,85.1,85.2,86.3,85.5,85.2,85.5,86.4,87.5,88.9,90.6,89.8,90.1,
Hans Town,84.9,85.1,85.8,86.5,87.3,88.2,89.6,88.2,86.7,87.3,86.6,86.6,
Campden,83.0,83.3,83.7,85.3,87.0,86.8,87.1,87.8,88.3,88.0,87.8,87.8,
Brompton,84.1,85.3,85.8,86.6,86.5,87.1,85.2,84.6,85.3,86.3,86.5,88.8,
Pinner South,83.1,83.8,84.9,84.1,83.8,84.1,84.9,85.6,86.2,88.0,88.5,88.4,
Shortlands,83.9,83.9,84.4,84.5,84.6,85.1,85.3,85.6,86.1,86.9,87.1,87.5,
Bryanston and Dorset Square,83.4,83.6,84.0,85.4,85.1,85.8,86.2,86.5,86.2,86.0,85.8,85.4,
East Sheen,83.1,83.6,84.9,84.9,84.8,84.9,84.9,85.1,85.8,86.6,86.3,87.2,
City of London,83.7,83.8,84.6,84.1,84.4,84.5,84.5,84.0,83.8,84.5,86.5,89.2,
Selsdon and Ballards,83.9,84.3,84.2,83.3,84.3,84.3,84.6,85.0,85.5,85.1,86.3,86.2,
Redcliffe,82.8,84.1,84.8,84.3,84.8,84.4,84.3,84.0,84.9,85.5,86.5,86.4,
Finchley Church End,83.4,82.8,82.8,83.7,84.3,84.3,85.4,85.4,85.7,85.6,86.3,86.8,
Garden Suburb,82.1,82.4,83.6,84.1,84.0,84.4,84.7,84.7,85.4,86.2,87.0,87.2,
Abingdon,81.6,83.0,82.5,84.0,84.2,84.4,84.7,85.1,84.8,85.1,86.0,86.8,
Petts Wood and Knoll,81.8,81.9,82.5,82.8,83.5,84.7,85.5,85.9,86.0,85.7,85.9,86.0,
Marylebone High Street,82.8,82.7,83.0,82.6,82.9,84.7,85.3,84.8,85.2,85.4,85.1,85.8,
Eastcote and East Ruislip,82.9,82.9,82.2,82.4,83.4,83.5,83.8,84.7,85.4,85.9,86.2,86.9,
Tudor,81.2,81.6,82.3,83.6,83.1,83.8,84.9,85.7,86.0,85.7,85.7,85.6,
Cremorne,81.8,82.6,82.8,84.6,84.6,85.2,84.3,85.1,84.6,84.4,84.4,84.8,
Abbey Road,80.0,80.2,80.6,82.0,82.8,83.2,84.3,85.8,86.7,87.0,87.8,87.6,
Lancaster Gate,84.3,83.7,83.9,81.6,82.4,83.3,84.2,84.3,84.3,84.7,85.7,85.4,
Headstone North,82.5,82.5,81.8,82.3,81.7,82.6,83.3,84.2,85.5,87.4,86.5,87.0,
Highlands,81.6,82.7,83.7,83.6,84.4,84.2,84.1,84.5,84.6,83.9,84.9,85.0,
Hampstead Town,80.2,81.8,82.9,82.6,82.5,83.1,84.1,84.1,84.6,85.9,87.4,87.9,
